timestamp,symbol,moving_avg,volume_sum
2025-09-07 01:19:00,LTC,111.847,308.42
2025-09-07 01:19:00,BNB,858.215,24.3259
2025-09-07 01:19:00,SOL,200.615,1749.11
2025-09-07 01:19:00,ETH,4280.86,261.351
2025-09-07 01:19:00,DOGE,0.215447,5.59392e+06
2025-09-07 01:19:00,BTC,110202,4.01367
2025-09-07 01:19:00,ADA,0.818407,43552.7
2025-09-07 01:19:00,XRP,2.80536,68270.9
2025-09-07 01:20:00,ADA,0.818315,35563.6
2025-09-07 01:20:00,XRP,2.80517,66171.5
2025-09-07 01:20:00,SOL,200.586,1797.77
2025-09-07 01:20:00,LTC,111.85,322.361
2025-09-07 01:20:00,BTC,110201,3.89745
2025-09-07 01:20:00,BNB,858.251,24.0453
2025-09-07 01:20:00,ETH,4280.36,256.548
2025-09-07 01:20:00,DOGE,0.215483,5.0669e+06
2025-09-07 01:21:00,BNB,858.307,25.4651
2025-09-07 01:21:00,BTC,110203,4.01453
2025-09-07 01:21:00,ADA,0.818287,35197.7
2025-09-07 01:21:00,LTC,111.854,326.407
2025-09-07 01:21:00,SOL,200.595,1932.45
2025-09-07 01:21:00,DOGE,0.215596,5.36317e+06
2025-09-07 01:21:00,ETH,4280,258.993
2025-09-07 01:21:00,XRP,2.80511,64506.3
2025-09-07 01:22:00,SOL,200.611,1993.04
2025-09-07 01:22:00,ADA,0.818317,29495.9
2025-09-07 01:22:00,LTC,111.856,314.858
2025-09-07 01:22:00,ETH,4279.9,238.197
2025-09-07 01:22:00,BTC,110206,4.48421
2025-09-07 01:22:00,XRP,2.8051,62456.9
2025-09-07 01:22:00,BNB,858.402,23.1081
2025-09-07 01:22:00,DOGE,0.215658,5.68123e+06
2025-09-07 01:23:00,ADA,0.818404,28818.6
2025-09-07 01:23:00,BTC,110207,4.5454
2025-09-07 01:23:00,DOGE,0.215693,5.77307e+06
2025-09-07 01:23:00,SOL,200.621,1978.36
2025-09-07 01:23:00,LTC,111.866,322.642
2025-09-07 01:23:00,BNB,858.483,24.7732
2025-09-07 01:23:00,ETH,4279.91,222.946
2025-09-07 01:23:00,XRP,2.80523,58821.1
2025-09-07 01:24:00,XRP,2.80539,58147.3
2025-09-07 01:24:00,BNB,858.54,20.604
2025-09-07 01:24:00,SOL,200.643,1934.36
2025-09-07 01:24:00,ADA,0.818473,27067.5
2025-09-07 01:24:00,BTC,110210,4.19895
2025-09-07 01:24:00,ETH,4279.69,250.05
2025-09-07 01:24:00,LTC,111.868,324.512
2025-09-07 01:24:00,DOGE,0.215753,6.28641e+06
2025-09-07 01:25:00,LTC,111.866,342.446
2025-09-07 01:25:00,SOL,200.651,1935.49
2025-09-07 01:25:00,XRP,2.80555,56846.7
2025-09-07 01:25:00,BTC,110211,4.10423
2025-09-07 01:25:00,ADA,0.818513,27065.8
2025-09-07 01:25:00,BNB,858.513,21.1634
2025-09-07 01:25:00,DOGE,0.215786,6.04658e+06
2025-09-07 01:25:00,ETH,4279.42,223.957
2025-09-07 01:26:00,DOGE,0.215865,5.52361e+06
